"TimeString";"Vol_h_estatico";"Vol_t_estatico"
"2021-04-21 21:06:23";2,620443;2,298539
"2021-04-21 21:07:23";2,63708;2,299624
"2021-04-21 21:08:23";2,584635;2,308666
"2021-04-21 21:09:23";2,630208;2,330367
"2021-04-21 21:10:23";2,685185;2,36292
"2021-04-21 21:11:23";2,651548;2,383536
"2021-04-21 21:12:23";2,705078;2,384621
"2021-04-21 21:13:23";2,67759;2,37377
"2021-04-21 21:14:23";2,705078;2,371962
"2021-04-21 21:15:23";2,606699;2,37377
"2021-04-21 21:16:23";2,676143;2,37377
"2021-04-21 21:17:23";2,541594;2,377387
"2021-04-21 21:18:23";2,645399;2,388599
"2021-04-21 21:19:23";2,549551;2,388238
"2021-04-21 21:20:23";2,622251;2,392216
"2021-04-21 21:21:23";2,554253;2,388961
"2021-04-21 21:22:23";2,624783;2,388961
"2021-04-21 21:23:23";2,578487;2,394748
"2021-04-21 21:24:23";2,686994;2,394748
"2021-04-21 21:25:23";2,622613;2,397642
"2021-04-21 21:26:23";2,690249;2,396918
"2021-04-21 21:27:23";2,596571;2,40162
"2021-04-21 21:28:23";2,682292;2,405237
"2021-04-21 21:29:23";2,603081;2,409216
"2021-04-21 21:30:23";2,660952;2,414279
"2021-04-21 21:31:23";2,575593;2,423322
"2021-04-21 21:32:23";2,649378;2,417535
"2021-04-21 21:33:23";2,545573;2,421513
"2021-04-21 21:34:23";2,636357;2,429109
"2021-04-21 21:35:23";2,564019;2,430194
"2021-04-21 21:36:23";2,627315;2,432002
"2021-04-21 21:37:23";2,586444;2,437789
"2021-04-21 21:38:23";2,592954;2,437428
"2021-04-21 21:39:23";2,628038;2,437428
"2021-04-21 21:40:23";2,63491;2,427662
"2021-04-21 21:41:23";2,631293;2,432364
"2021-04-21 21:42:23";2,617188;2,437428
"2021-04-21 21:43:23";2,744141;2,435619
"2021-04-21 21:44:23";2,661314;2,437066
"2021-04-21 21:45:23";2,591507;2,434896
"2021-04-21 21:46:23";2,683738;2,441406
"2021-04-21 21:47:23";2,584635;2,438513
"2021-04-21 21:48:23";2,693866;2,441045
"2021-04-21 21:49:23";2,627315;2,4443
"2021-04-21 21:50:23";2,596571;2,447555
"2021-04-21 21:51:23";2,647208;2,443938
"2021-04-21 21:52:23";2,603805;2,455874
"2021-04-21 21:53:23";2,666016;2,45515
"2021-04-21 21:54:23";2,664569;2,454789
"2021-04-21 21:55:23";2,620081;2,462023
"2021-04-21 21:56:23";2,662399;2,465639
"2021-04-21 21:57:23";2,613209;2,463831
"2021-04-21 21:58:23";2,633102;2,466363
"2021-04-21 21:59:23";2,508681;2,466724
"2021-04-21 22:00:22";2,582827;2,469256
"2021-04-21 22:01:22";2,537254;2,466363
"2021-04-21 22:02:22";2,578125;2,465278
"2021-04-21 22:03:22";2,491319;2,465278
"2021-04-21 22:04:22";2,552807;2,469618
"2021-04-21 22:05:22";2,463831;2,466724
"2021-04-21 22:06:22";2,547743;2,460938
"2021-04-21 22:07:22";2,486979;2,467086
"2021-04-21 22:08:22";2,485532;2,466001
"2021-04-21 22:09:22";2,477575;2,467448
"2021-04-21 22:10:22";2,510127;2,460938
"2021-04-21 22:11:22";2,459129;2,459852
"2021-04-21 22:12:22";2,483362;2,458767
"2021-04-21 22:13:22";2,5;2,452619
"2021-04-21 22:14:22";2,544488;2,454427
"2021-04-21 22:15:22";2,468533;2,460576
"2021-04-21 22:16:22";2,529297;2,455874
"2021-04-21 22:17:22";2,449363;2,452619
"2021-04-21 22:18:22";2,520978;2,456597
"2021-04-21 22:19:22";2,459129;2,460938
"2021-04-21 22:20:22";2,530382;2,458044
"2021-04-21 22:21:22";2,475767;2,458044
"2021-04-21 22:22:22";2,475043;2,460938
"2021-04-21 22:23:22";2,517723;2,452619
"2021-04-21 22:24:22";2,484086;2,454427
"2021-04-21 22:25:22";2,538339;2,452257
"2021-04-21 22:26:22";2,490596;2,448278
"2021-04-21 22:27:22";2,556062;2,449363
"2021-04-21 22:28:22";2,535807;2,452619
"2021-04-21 22:29:22";2,581742;2,446831
"2021-04-21 22:30:22";2,501085;2,447193
"2021-04-21 22:31:22";2,545211;2,448278
"2021-04-21 22:32:22";2,520255;2,450449
"2021-04-21 22:33:22";2,481554;2,450449
"2021-04-21 22:34:22";2,501085;2,455512
"2021-04-21 22:35:22";2,484447;2,457682
"2021-04-21 22:36:22";2,466724;2,45515
"2021-04-21 22:37:22";2,466724;2,452257
"2021-04-21 22:38:22";2,468171;2,452619
"2021-04-21 22:39:22";2,39077;2,449363
"2021-04-21 22:40:22";2,461661;2,452257
"2021-04-21 22:41:22";2,409216;2,452257
"2021-04-21 22:42:22";2,458044;2,446831
"2021-04-21 22:43:22";2,411748;2,445746
"2021-04-21 22:44:22";2,460576;2,441768
"2021-04-21 22:45:22";2,426577;2,441045
"2021-04-21 22:46:22";2,483001;2,439598
"2021-04-21 22:47:22";2,398727;2,443938
"2021-04-21 22:48:22";2,410663;2,443576
"2021-04-21 22:49:22";2,411748;2,438874
"2021-04-21 22:50:22";2,360026;2,439598
"2021-04-21 22:51:22";2,394748;2,438151
"2021-04-21 22:52:22";2,340495;2,441045
"2021-04-21 22:53:22";2,346643;2,438874
"2021-04-21 22:54:22";2,388961;2,438151
"2021-04-21 22:55:22";2,331453;2,431641
"2021-04-21 22:56:22";2,331091;2,429471
"2021-04-21 22:57:22";2,379195;2,426939
"2021-04-21 22:58:22";2,349537;2,429109
"2021-04-21 22:59:22";2,335069;2,429471
"2021-04-21 23:00:21";2,356771;2,429109
"2021-04-21 23:01:21";2,426215;2,4273
"2021-04-21 23:02:21";2,40379;2,424768
"2021-04-21 23:03:21";2,346282;2,424045
"2021-04-21 23:04:21";2,304326;2,42079
